BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"Sintes Pros, Jorge: Los peligros del colesterol. Barcelona: Sintes S.A., 1975.","Sintes Pros, Jorge",Los peligros del colesterol,1975,Primera edición,No ficción,Escrito,Libro,Salud,España,,,El autor no acentúa las mayúsculas,"La pigmentación es un signo satisfactorio, pues se trata de una verdadera acumulación de energía solar que hace al individuo más resistente a la enfermedad. Por lo demás, cuando el bronceado está bastante avanzado el tiempo de exposición puede ser prolongado sin inconveniente a condición de no cometer excesos. En todos los casos es indispensable recubrirse la cabeza con una toalla constantemente húmeda y protegerse los ojos con la"
"Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.","Pinillos, José Luis",Principios de psicología,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,", por indiferenciados y elementales que fueran, hubieron de subvenir de algún modo a su supervivencia. Su modo inicial de existencia en el medio fue probablemente la fotosíntesis, esto es, un procedimiento bioquímico para transformar en azúcar el dióxido de carbono de la atmósfera o el disuelto en el agua. En otras palabras, la energía solar y el dióxido de carbono, más nitrógeno y amoniaco de donde pudieran sintetizarse proteínas y ácidos nucleicos, constituyeron probablemente las bases de la actividad bioquímica con que los primeros vegetales lograron sobrevivir y desarrollarse. Sin embargo, otros organismos primitivos, no disponían, al parecer, de las estructuras necesarias para sintetizar de"
"Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.","Pinillos, José Luis",Principios de psicología,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"que experimentan las plantas hacia campos de fuerza o fuentes de energía —gravitatorios, luminosos, térmicos, etc.—, y que optimizan su relación con ellos. El ejemplo clásico es el del heliotropo, cuyo fototropismo positivo le permite girar al compás de los movimientos del sol y absorber así el máximo de energía solar. Por supuesto, el término fototropismo no se refiere a ningún principio o virtus mental radicada en el heliotropo, sino a una estructura funcional de naturaleza físico-química y biológica que, en interacción con la estimulación solar, regula los giros de la planta. Ciertamente, semejantes giros no son propositivos en la misma forma en que"
"Sérsic, José Luis: La exploración de Marte. Barcelona: Labor, 1976.","Sérsic, José Luis",La exploración de Marte,1976,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Argentina,Río de la Plata,,,"Si la reflectividad planetaria (albedo) se designa con , entonces la energía solar absorbida es . La ecuación de equilibrio térmico requiere entonces que . Esta sencilla relación permite la determinación aproximada de la temperatura teórica superficial  para un planeta considerado ahora como cuerpo gris."
"Sérsic, José Luis: La exploración de Marte. Barcelona: Labor, 1976.","Sérsic, José Luis",La exploración de Marte,1976,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Argentina,Río de la Plata,,,"sentido directo con período de 72000 años. Por supuesto, si tal cupla se aplicase mientras Marte estuviera en la configuración adecuada, entonces el planeta permanecería por siempre en esta situación biológicamente favorable, o al menos, hasta que su atmósfera escapase. Los autores de tan singular proyecto sugieren que, a través del uso de la energía solar, el hombre podría en el futuro trasladar masas suficientes a las vecindades de Marte para alterar su precesión en la cantidad deseada. Sugieren que podría emplearse como «materia prima» para producir este efecto a Phobos o la materia de la región de los asteroides. Estas propuestas de ingeniería planetaria tienen obviamente sus inconvenientes"
"Lezama Lima, José: Oppiano Licario. Madrid: Cátedra, 1989.","Lezama Lima, José",Oppiano Licario,1977,Primera edición,Ficción,Escrito,Libro,Novela,Cuba,Antillas,,,"la muerte, es lo que algunos llaman la conciencia de la finitud. El hombre del norte africano siente constantemente que la vida va a morir y que la muerte va a vivir, tiene un sentido vegetativo de la muerte, el sumergimiento dentro de la tierra significa la reaparición heliotrópica, los cambios ordenados por la energía solar. Eso lo siento vivazmente en el cuadro de El Aduanero La gitana dormida. Sabemos que tiene que existir una extraña relación entre dos incomprensibles cercanías, pero sabemos también que es inagotable su indescifrable liaison. Pero ahí no encontramos un problematismo a puñetazos, sabemos que eso sucede con todas las relaciones que la vida nos"
"Lezama Lima, José: Oppiano Licario. Madrid: Cátedra, 1989.","Lezama Lima, José",Oppiano Licario,1977,Primera edición,Ficción,Escrito,Libro,Novela,Cuba,Antillas,,,"aprovechamiento en sus ochenta años de la energía matinal de Goethe al orinar, que le recordaba el encandilamiento fálico del adolescente al despertar, para escribir un verso más del Segundo Fausto. Después descorchaba otra botella de vino del Rhin para prolongar la mañana. Eran sutiles trampas occidentales para apoderarse de la energía solar."
"Lezama Lima, José: Oppiano Licario. Madrid: Cátedra, 1989.","Lezama Lima, José",Oppiano Licario,1977,Primera edición,Ficción,Escrito,Libro,Novela,Cuba,Antillas,,,"por la fluencia líquida de la bahía como animus, como una llama que se rescataba del fluido vital. Su animus estaba muy alejado del meus, o situarse entre el bien y el mal. Su animus se amigaba con el spiritus, logrando un cuerpo en el que intervenía el vaho lunar o la energía solar. De las setenta y dos variaciones astrales que ofrece el Talmud, Licario había escogido el fuego de San Telmo del animus y al Hebel Garmin, soplo o irradiación que los huesos trasudan después de la muerte. Así, el ladronzuelo veía un bulto de arena que rebotaba, una piel abrillantada que trasudaba como las hojas"
"Lezama Lima, José: Oppiano Licario. Madrid: Cátedra, 1989.","Lezama Lima, José",Oppiano Licario,1977,Primera edición,Ficción,Escrito,Libro,Novela,Cuba,Antillas,,,"cuerpo de la imagen. Ambos hicieron nacer en el hombre la idea de que el espejo llegaría  a expresarse por el sexo. El espejo de metal introduce la espera de la energía en sus moléculas, la imagen que aprisiona en su interioridad debe de hacer inclinar sus pequeños movimientos traslaticios. Esos espejos jugaban con la energía solar, refractaban su imagen, la dejaban pasar por un agujero que era como un ojo. De alguna manera, la imagen debe pasar a la ecuación de su energía irradiante, y como todo calor es propicio a lo germinativo, en el centro del espejo aparece siempre lo priápico, como si creáramos una nueva"
"«&#34;Tenemos objetivos y problemas parecidos&#34;». El País. Madrid: Diario El País, S.A., 1977-09-28.",,El País,1977,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Mayúsculas no acentuadas en el original,"espera presentar a las Cortes, antes del 15 de noviembre, el nuevo programa energético español. Este plan se basará, fundamentalmente, en tres capítulos: 1) Ahorro del consumo energético. 2) Diversificación de fuentes energéticas (reducción de petróleo, aumento del consumo de gas, potenciar el carbón, energía solar, etcétera). 3) Definición de un programa de energía nuclear, que será sometido a la aprobación previa de las Cortes."
