BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"Val, José María del: Llegará tarde a Hendaya. Barcelona: Planeta, 1983.","Val, José María del",Llegará tarde a Hendaya,1981,Primera edición,Ficción,Escrito,Libro,Novela,España,,,Finalista del premio Planeta 1981,"Entre las primeras sensaciones que Seymour había grabado en su mente figuraba el súbito cambio climático que se producía a finales de junio, cuando abandonaban la soleada Andalucía para irse a cobijar en el umbroso Cantábrico. Ora en Santander, ora en San Sebastián, Seymour conocía como pocos los veranos monárquicos de principios de siglo, cuando Su Majestad se repartía entre la Magdalena y Ayete y los bañistas daban baños de"
"Colorado Castellary, Arturo: Introducción a la historia de la pintura. De Altamira al Guernica. Madrid: Síntesis, 1991.","Colorado Castellary, Arturo",Introducción a la historia de la pintura. De Altamira al Guernica,1991,Primera edición,No ficción,Escrito,Libro,"Artes, cultura y espectáculos",España,,,,"El medio en el que vive el hombre de este período (a partir del 7000-6000) se ha transformado profundamente, se ha producido un cambio climático con un aumento de las temperaturas que ha provocado la desaparición de la fauna de clima frío, base de la caza del hombre del Paleolítico. a partir del X milenio desaparecen las pinturas de las cuevas de la zona franco-cantábrica y hay que esperar tres milenios para que nuevas tribus cazadoras comiencen un nuevo arte rupestre"
"Vásquez Torre, Guadalupe Ana María: Ecología y formación ambiental. México: MCGraw-Hill Interamericana de México, 1993.","Vásquez Torre, Guadalupe Ana María",Ecología y formación ambiental,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,México,México y Centroamérica,,,"l 1% de la radiación electromagnética solar que actualmente recibe la  Tierra se generaría un desastre de consecuencias impredecibles; éstas podrían ser, entre otras, la fusión del hielo polar, la consecuente elevación del nivel de las aguas oceánicas, la muerte de muchos organismos, y la inundación de terrenos costeros. Un cambio climático generalizado sería otra consecuencia. Se prevé que si el ritmo de consumo energético continúa igual, estos problemas se presentarán dentro de un siglo. (Véase Fig. 2.12.)"
"Vásquez Torre, Guadalupe Ana María: Ecología y formación ambiental. México: MCGraw-Hill Interamericana de México, 1993.","Vásquez Torre, Guadalupe Ana María",Ecología y formación ambiental,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,México,México y Centroamérica,,,"Estamos acostumbrados a pensar en el agua sólo como fuente de abastecimiento, generadora de energía eléctrica, almacenadora de gran cantidad de recursos en el mar, pero no como una posible fuente de contaminación y cambio climático, como lo menciona la cita anterior. Si acaso ocurriera un cambio climático significativo, se presentaría otro problema grave con el nivel del agua en el planeta, ya que si la temperatura aumentara sensiblemente, se correría el grave riesgo de la fusión del hielo polar; esto acarrearía graves inundaciones y pérdidas de los terrenos"
"Vásquez Torre, Guadalupe Ana María: Ecología y formación ambiental. México: MCGraw-Hill Interamericana de México, 1993.","Vásquez Torre, Guadalupe Ana María",Ecología y formación ambiental,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,México,México y Centroamérica,,,"Estamos acostumbrados a pensar en el agua sólo como fuente de abastecimiento, generadora de energía eléctrica, almacenadora de gran cantidad de recursos en el mar, pero no como una posible fuente de contaminación y cambio climático, como lo menciona la cita anterior. Si acaso ocurriera un cambio climático significativo, se presentaría otro problema grave con el nivel del agua en el planeta, ya que si la temperatura aumentara sensiblemente, se correría el grave riesgo de la fusión del hielo polar; esto acarrearía graves inundaciones y pérdidas de los terrenos cercanos a las costas. Por tanto, el agua no es imperturbable como"
"Díaz Dorado, M. D.: Ordenamiento ambiental. Urbanismo sanitario. Buenos Aires: D, 1993.","Díaz Dorado, M. D.",Ordenamiento ambiental. Urbanismo sanitario,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Argentina,Río de la Plata,,No se acentúan las mayúsculas,"La perturbación ecológica es importante y se discute la posibilidad de un cambio climático motivado por el aumento en la concentración de , originado por efecto ""invernadero""; el aire resulta transparente a la radiación solar incidente, pero —al reflejarse en la corteza terrestre y cambiar su longitud de onda— se convierte en rayos calóricos que son reflejados por la atmósfera; una mayor concentración de"
"«Antonio Abellán García». Abellán García, Antonio: Los grandes problemas actuales de la población. Madrid: Sntesis, 1993.","Abellán García, Antonio",Los grandes problemas actuales de la población,1993,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"El cambio climático. Es la amenaza mayor para los próximos decenios y abarca diversos aspectos como el efecto invernadero o calentamiento de la atmósfera, la lluvia ácida y la destrucción de la capa de ozono. Todos ellos están interrelacionados y han sido provocados por la especie humana en su crecimiento, en la explotación de recursos de forma no"
"«Obstáculos distributivos contra la política ambiental internacional». Martínez Alier, Joan: Recursos naturales. Tecnología y desarrollo. Cusco (Per): CBC (centro de Estudios Regionales Andinos &#34;Bartolom de las Casas&#34;), 1993.","Martínez Alier, Joan",Recursos naturales. Tecnología y desarrollo,1993,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Perú,Andina,,,"La conferencia de las Naciones Unidas sobre el Medio Ambiente y el Desarrollo de junio de 1992 fracasó en su intento de alcanzar acuerdos efectivos sobre el cambio climático y sobre la conservación de la biodiversidad. Este es el punto de partida para esta ponencia, vinculada a mis investigaciones sobre Conflictos Distributivos y Política Ambiental, y sobre el Ecologismo de los Pobres."
"López Bonillo, Diego: El Medio Ambiente. Madrid: Cátedra, 1994.","López Bonillo, Diego",El Medio Ambiente,1994,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,España,,,,"en proceso de muerte, los acuíferos subterráneos descienden y la demanda de agua supera la capacidad de suministro en zonas de todo el mundo, millares de especies animales y vegetales se extinguen cada año, grandes cantidades de productos tóxicos pasan a los suelos, a la atmósfera o al medio hídrico, mientras se anuncia un cambio climático de consecuencias graves. El panorama no es ciertamente halagüeño y de ello son conscientes capas amplias de la sociedad; pero a pesar de la conciencia de los peligros que amenazan al sistema global, las soluciones que se arbitran son insuficientes, por cuestiones simplemente económicas. En efecto, en el modelo económico actual, vigente en"
"López Bonillo, Diego: El Medio Ambiente. Madrid: Cátedra, 1994.","López Bonillo, Diego",El Medio Ambiente,1994,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,España,,,,"emisión de contaminantes a la atmósfera origina cambios en el sistema, básicamente por lo que respecta a los balances de energía, que afectan al comportamiento de algunos elementos del clima. Estas alteraciones pueden realizarse a escala local, en las áreas productoras de contaminantes, o a escala global, en cuyo caso el cambio climático afecta a la totalidad del sistema atmosférico."
