BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"Ramírez, Santiago: Infancia es destino. México: Siglo XXI editores, 1975.","Ramírez, Santiago",Infancia es destino,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",México,México y Centroamérica,,,"El psicoanálisis como sistema de pensamiento utilizó en sus orígenes una gran cantidad de analogías derivadas del pensamiento físico en boga, el newtoniano. Ahora parece ser que, en virtud del desarrollo de la cibernética (estudio de los reguladores o mecanismos de dirección), las analogías se transforman. En el lenguaje de Newton se suponía partir de un sistema de partículas conocidas para después descubrir lo que ocurría cuando actuaban sobre ellas otras fuerzas. En la actual analogía cibernética partimos del conocimiento de que la característica fundamental de los mecanismos de dirección que mantienen a un vehículo en trayectoria fija, es conocida en la jerga de los ingenieros como retroalimentación"
"Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.","Pinillos, José Luis",Principios de psicología,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"sin la ayuda del tacto. El informe de uno de los pacientes recuerda ciertamente la reconstrucción que William James hiciera de la percepción del recién nacido: «Tantas cosas diferentes, los movimientos rápidos, confundían mi vista de tal forma que no podía ver nada.» Voltaire, en sus Eléments de la philosophie de Newton, se había anticipado ya a estas descripciones, previstas también por Berkelev y Locke, y confirmadas por un cirujano inglés llamado Cheselden, que fue aparentemente un Senden avant la lettre. Muchos trabajos contemporáneos, por ejemplo, los que Riesen llevó a cabo con chimpancés criados en oscuridad absoluta, etc., han confirmado hasta la"
"Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.","Pinillos, José Luis",Principios de psicología,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"l efecto, que fija los aciertos y elimina los errores, y el principio del «tanteo» o del intento y error (trial and error) que regula la actividad tentativa del animal, la conducta resolutoria de éste queda explicada sin tener que recurrir a procesos mentales superiores. Siglos atrás había sido Newton el gran modelo de los psicólogos asociacionistas; ahora, la presencia de Darwin se hacía notar a todas luces. La expresión intento y error aludía a una actividad de exploración o búsqueda de metas vitales, que la ley del efecto se encargaba de modelar, igual que la ley de la selección natural hacia con los"
"Pinillos, José Luis: Principios de psicología. Madrid: Alianza, 1995.","Pinillos, José Luis",Principios de psicología,1975,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"Carlos Darwin negaba la posibilidad de que los caracteres adquiridos se transmitieran por herencia; era, por el contrario, la selección natural de las cualidades heredadas lo que, fijando las más favorables, constituía el mecanismo de la evolución de las especies. Deslumbrado por Darwin —de forma parecida a como antes lo había sido Hume por Newton—, Stanley Hall soñó con ser el «Darwin de la mente» que diera con las grandes leyes de la evolución psíquica; entre ellas, la ley biogenética ocupaba un lugar central, que exigía el paso por estadios o fases previas del desarrollo para que éste pudiera desplegar sus etapas  ulteriores. La obra del"
"Cabrujas, José Ignacio: Acto cultural. Madrid: Vox, 1979.","Cabrujas, José Ignacio",Acto cultural,1976,Fecha de estreno,Ficción,Escrito,Libro,Teatro,Venezuela,Caribe continental,,"Estrenada en agosto de 1976, en la sala ""Juana Sujo"" y dentro del repertorio de ""El nuevo grupo venezuela""",", somos una sociedad cultural sin fines de lucro. ¡Después de todo, hay aceites que suavizan cualquier estrechez! ¡No podemos jerarquizar el esfínter! ¡Es un error! ¡Es una actitud desconsiderada ante el pensamiento occidental! ¡Hubo un Aristóteles y un Kant y un Parménides de Elea! ¡Hubo un Newton y un Mallarmé y un Wagner! ¡Y aquí está San Rafael de Ejido, esperando el reflector cultural de la Sociedad Pasteur! ¡Nada menos que Cristóbal Colón! ¡Nada menos que el descubridor... el hombre que viene un doce de octubre de 1492 a las dos y media de la tarde y posa sus dos zapatos en América! ¡Perdóname"
"Martín del Campo, David: Las rojas son las carreteras. México D.F.: Joaquín Mortiz, 1976.","Martín del Campo, David",Las rojas son las carreteras,1976,Primera edición,Ficción,Escrito,Libro,Novela,México,México y Centroamérica,,,"espías de la policía montada. Polo pregunta cuándo se montaron a la policía, y Henri se ruboriza al comprender el albur. En eso estábamos cuando de pronto dieron las cinco de la tarde y todo seguía tan normal como siempre, y el mundo completaba su vuelta número 303 del año 326 (Después de Newton). Entonces los leones del Desierto de los leones se reunieron para deliberar. Y los leones del Desierto de los leones somos nosotros que estamos con los ojos viéndonos para adentro y sudando la gota de la paranoia (se debería decir paranoya). Con todo el dolor de nuestro entendimiento arribamos al"
"Laín Entralgo, Pedro: Descargo de conciencia (1930-1960). Madrid: Alianza, 1989.","Laín Entralgo, Pedro",Descargo de conciencia (1930-1960),1976,Fecha de escritura,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",España,,,,"España de Fernando de Rojas, Hernán Cortés, Luis de León, Iñigo de Loyola, Teresa de Avila, Juan de la Cruz, Cervantes, Lope, Zurbarán, Velázquez y Calderón, genios de primerísimo orden en lo suyo, no hubo hombres de ciencia que llegasen hasta la rodilla de los Copérnico, Paracelso, Vesalio, Fermat, Harvey, Kepler, Galileo, Descartes, Huygens, Newton y Leibniz? ¿Por qué en la España ulterior a la última guerra civil no gastamos en ciencia sino un tercio de lo que,  respecto del respectivo producto nacional bruto, gastan los países que hoy solemos llamar «desarrollados»? Tales son las principales interrogaciones que en dicho ensayo me hago y hago a todos aquellos"
"«España podría ser pronto uno de los primeros centros mundiales de investigación astrofísica. Los centros instalados y en construcción, en Santa Cruz de Tenerife, Las Palmas, Almería y Granada están constituyendo un centro de atención primordial para los organismos de investigación astrofísica mundiales. Casi veinte mil millones de pesetas podrían ser invertidos por esas instituciones en nuestro país.». El País. Madrid: Diario El País, S.A., 1976-08-01.",,El País,1976,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Mayúsculas no acentuadas en el original,"Las condiciones del cielo español provocan otro turismo, además del veraniego: el turismo astrofísico. Un espléndido telescopio británico, el Isaac Newton, de 4,5 metros de abertura, construido e instalado en el Reino Unido, inaugurado recientemente por la Reina Isabel, ha sido desmantelado para instalarse en las Islas Canarias."
"Marni, Pablo: El universo en la tierra. Buenos Aires: Caymi, 1976.","Marni, Pablo",El universo en la tierra,1976,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",Argentina,Río de la Plata,,,¿Para qué seguir haciendo física si Newton lo había explicado todo? ¿Para qué indagar en la historia humana si el origen de las grandes mitologías y religiones era sólo una sucesión de patrañas de imposible comprensión?
"Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.","Paso, Fernando del",Palinuro de México,1977,Primera edición,Ficción,Escrito,Libro,Novela,México,México y Centroamérica,,Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas,"Berlín, muchos años después, se retrató bajo los tilos. En Oaxaca, bajo el árbol de Santa María del Tule. Luego, bajo un abedul en Rusia, bajo una higuera de Bengala en Palm Beach y bajo el Arbol de la Noche Triste en Popotla. Soñó después con visitar un día el árbol de Woolsthorpe a cuya sombra Newton descubrió la ley de la gravitación universal, el plátano del Iliso que refrescaba las enseñanzas de Platón y los halodendros bajo los cuales murió el Buda. En un diccionario de mitología mi prima descubrió el Heom persa que brotó del cuerpo del primer hombre y el ciprés del que se ahorcó Helena,  la"
