BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"Rolla, Edgardo H.: Familia y personalidad. Buenos Aires: Paidós, 1976.","Rolla, Edgardo H.",Familia y personalidad,1976,Primera edición,No ficción,Escrito,Libro,"Ciencias sociales, creencias y pensamiento",Argentina,Río de la Plata,,,"elementos naturales, pero que el resultado de la creación aparece de pronto como un producto totalmente contrario, de por sí amenazante para la continuidad de la vida de la especie humana y de otras; parecería ser una contribución en favor de lo ciegamente destructivo de los elementos naturales. Por ejemplo, la pólvora, la trinitrina, la fisión atómica, los artefactos teledirigidos, etcétera."
"«España podría verse obligada a clausurar sus centrales nucleares». El País. Madrid: Diario El País, S.A., 1977-02-02.",,El País,1977,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Mayúsculas no acentuadas en el original,"Los residuos son los radioisótopos que tienen una vida media larga, producidos en la fisión nuclear. Existen residuos sólidos, líquidos y gaseosos. Unas veces, estos residuos son reprocesados, tras el empleo de combustible nuclear en las centrales, pero otras veces son eliminados definitivamente."
"«España podría verse obligada a clausurar sus centrales nucleares». El País. Madrid: Diario El País, S.A., 1977-02-02.",,El País,1977,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Mayúsculas no acentuadas en el original,"Se trata generalmente de bidones recubiertos de cemento que, según el señor Costa Morata, plantean muchos problemas ambientales. «Recientes informaciones de la Unión Soviética —asegura el señor Costa Morata— han hecho ver que se puede producir una reacción nuclear de fisión en cadena sin control en un depósito de residuos (se dice que ya la ha habido en los Urales, pero esto es de saber). Un disidente soviético ha comentado estos hechos, asegurando que hubo un incidente de ese tipo. De todas formas, es claro que se dan muchos problemas en torno a los residuos radiactivos: posibilidad"
"Boido, Guillermo: Einstein o la armonía del mundo. Buenos Aires: ADIAX, 1980.","Boido, Guillermo",Einstein o la armonía del mundo,1980,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Argentina,Río de la Plata,,,", titulada ¿Depende la inercia de un cuerpo de su contenido de energía? Einstein sugería emplear sales radiactivas para verificar su predicción.. La sospecha de Einstein se convirtió en realidad en 1938, a propósito de las primeras experiencias de bombardeo de núcleos de uranio con neutrones.  Durante la ""ruptura"" de ciertos núcleos (fisión) hay una pérdida de masa y una liberación de energía radiante (en forma de ondas electromagnéticas) exactamente en la proporción vaticinada por Einstein: parte de la materia se ha aniquilado. Se conoce hoy también el fenómeno inverso, es decir, la conversión de energía en materia. En ciertas condiciones, un rayo gamma ("
"Boido, Guillermo: Einstein o la armonía del mundo. Buenos Aires: ADIAX, 1980.","Boido, Guillermo",Einstein o la armonía del mundo,1980,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,Argentina,Río de la Plata,,,"movimientos en favor de la igualdad de derechos de las minorías raciales norteamericanas. Pero fue en 1939 cuando debió enfrentar la más grave alternativa de su vida, y tal vez la más grave a la que científico alguno debió enfrentarse nunca. Un año antes, dos científicos alemanes de Berlín, Hahn y Strassmann, habían logrado provocar la fisión nuclear. La ruptura de los núcleos de uranio origina elementos más livianos, y el defecto de masa se convierte en energía, exactamente en la proporción vaticinada por Einstein en 1905. Dos científicos húngaros, Szilard y Wigner, emigrados a América, entrevistaron a Einstein en Princeton, y le comunicaron la posibilidad teórica de una"
"«Antonio Brugarolas, introductor del Norgamem en España». El País. Madrid: Diario El País, S.A., 1980-07-20.",,El País,1980,Primera edición,No ficción,Escrito,Prensa,Salud,España,,,Mayúsculas no acentuadas en el original,"sobre las consecuencias y no se miran esas consecuencias, dando paso a la improvisación y a la esperanza de resolver los problemas cuando lleguen. La energía nuclear tiene un problema de emisión de dosis bajas de irradiación, aun cuando funciona con normalidad, y además está sujeta a riesgos muy altos, porque una vez que se activa la fisión nuclear el proceso es imparable. El riesgo de accidente en una central nuclear es una posibilidad muy grave y no se puede decir que esté prevista cualquier anomalía, porque el accidente es algo que te viene y que se llama accidente porque era imprevisible."
"«Antonio Brugarolas, introductor del Norgamem en España». El País. Madrid: Diario El País, S.A., 1980-07-20.",,El País,1980,Primera edición,No ficción,Escrito,Prensa,Salud,España,,,Mayúsculas no acentuadas en el original,"el océano Atlántico, a quince kilómetros de El Ferrol, existe la posibilidad de que haya una bolsa de petróleo de grandes proporciones, que no se está investigando por razones que me son desconocidas. En definitiva, creo que no se puede comprometer el futuro de la humanidad por algo tan posiblemente coyuntural como la energía nuclear de fisión. No se trata de frenar para volver a un pasado romántico, sino de frenar para reconsiderar la situación y ver hasta dónde podemos llegar. Si dentro de treinta años la incidencia de cáncer se ha cuadruplicado, no podremos decir que eso no era esperable."
"«Entrevista con el grupo musical». El País. Madrid: Diario El País, S.A., 1980-08-20.",,El País,1980,Primera edición,No ficción,Escrito,Prensa,"Artes, cultura y espectáculos",España,,,Mayúsculas no acentuadas en el original,"R. Decimos Nuclear, sí, porque decimos sí a la energía, que es la fuerza que va a permitir un mundo altamente tecnificado y mucho mejor que éste. Y básicamente apoyamos la energía nuclear de fusión frente a la de fisión o también la solar en órbita alta. Cosas para las que nuestra tecnología actual está preparada y que sólo se ve interrumpida por unos humanos desorganizados que sólo piensan en su bolsillo."
"«F. ÁLVAREZ DE LA VEGA». Álvarez de la Vega, F.: Historia de la Química. Madrid: RACEFN, 1981.","Álvarez de la Vega, F.",Historia de la Química,1981,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,España,,,,"Berg (1963) dice que siempre se ha reconocido la importancia de las separaciones, pero sólo recientemente ""se han constituído como una ciencia independiente"", después de los éxitos alcanzados en las separaciones de isótopos de fisión, antibióticos, etc. y señala las dificultades para conseguir una clasificación racional. Zechmeister (1948), en una conferencia en la Academia de Ciencias de Nueva York, señalaba que en el s. XVIII, cuando la química del carbono comenzaba a desarrollarse, una operación física —la cristalización— jugó un papel importantísimo"
"«L. GUTIÉRREZ JODRA». Gutiérrez Jodrá, L.: Historia de la Química. Madrid: RACEFN, 1981.","Gutiérrez Jodrá, L.",Historia de la Química,1981,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,España,,,,LA FISIÓN NUCLEAR
