BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"««Feliz Navidad, Mr. Lawrence» de Nagisa Oshima». ABC. Madrid: Prensa Española, S.A., 1983-12-03.",,ABC,1983,Primera edición,No ficción,Escrito,Prensa,"Artes, cultura y espectáculos",España,,,Mayúsculas no acentuadas en el original,"Producción: Jeremy Thomas (GB/Japón/Nueva Zelanda), 1983. Director: Nagisa Oshima. Guión: Nagisa Oshima y Paul Mayersberg, según una novela de Laurens van der Post. Fotografía: Toichiro Narushima. Color. Música: Ryuichi Sakamoto. Duración: Ciento veinte minutos. Principales intérpretes: David Bowie, Tom Conti, Ryuichi Sakamoto, Takeshi, Jack Thompson y Alistair Browning. Salas de estreno:"
"Polaino-Lorente, Aquilino: La depresión. Barcelona: Martínez Roca, 1988.","Polaino-Lorente, Aquilino",La depresión,1985,Primera edición,No ficción,Escrito,Libro,Salud,España,,,,"Kinzie (1973) Japón/China/Cáucaso (estudiantes) Mayor tasa de depresión en mujeres asiáticas que en el Cáucaso (por ser más introvertidas, tendrían una mayor vulnerabilidad al estrés)."
"Polaino-Lorente, Aquilino: La depresión. Barcelona: Martínez Roca, 1988.","Polaino-Lorente, Aquilino",La depresión,1985,Primera edición,No ficción,Escrito,Libro,Salud,España,,,,Master (1977) EE.UU./Japón/Checoslovaquia/Inglaterra/Alemania/Holanda Sentimientos orientados hacia la propia familia.
"«El accidente ocurrió dos minutos después de despegar la supersónica aeronave». El Nacional. Caracas: el-nacional.com, 2000-07-26.",,El Nacional,2000,Primera edición,No ficción,Escrito,Prensa,"Actualidad, ocio y vida cotidiana",Venezuela,Caribe continental,,Versión realizada sobre texto marcado HTML. Mayúsculas no acentuadas en el original.,"Chirac, que regresaba en otro avión de Air France de Japón, donde había participado el fin de semana en la cumbre del Grupo de los 8 (los siete países más industrializados y Rusia) se confesó ""profundamente afectado por este drama"". También el primer ministro francés, Lionel Jospin, transmitió ayer sus condolencias al canciller alemán, Gerhard Schroeder, y a las familias"
"«Argentina, sin piedad». Clarín. Buenos Aires: clarín.com, 1997-05-19.",,Clarín,1997,Primera edición,No ficción,Escrito,Prensa,"Actualidad, ocio y vida cotidiana",Argentina,Río de la Plata,,Versión realizada sobre texto marcado HTML. Mayúsculas no acentuadas en el original.,"Ante Japón, hubo síntomas de que Argentina ya no está en una etapa de búsqueda. El equipo da muestras de madurez. Como para que se pueda soñar con recuperar ese lugar en el mundo que tuvo alguna vez."
"«Suben por segundo mes los principales indicadores económicos de Estados Unidos». El País. Madrid: Diario El País, S.A., 1985-10-01.",,El País,1985,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,,", realizando el cierre a 216 yens. La última vez en la que la cotización se situó por debajo de este nivel fue el 4 de diciembre de 1981, en que se fijó un cambio de 215,80 yens. En este fortalecimiento progresivo de la moneda japonesa parece haber tenido influencia las declaraciones del gobernador del Banco de Japón, Satoshi Sulmita, quien expresó su deseo de que la divisa nipona experimente una mayor apreciación en los próximos días. Por lo que respecta a la moneda española, a lo largo del mes de septiembre se ha depreciado frente a la mayor parte de las monedas europeas y frente al yen japonés en porcentajes que han oscilado"
"«EL PAÍS, Madrid». El País. Madrid: Diario El País, S.A., 1987-04-02.",,El País,1987,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,,"En efecto, el dólar recuperó ayer posiciones frente a las principales divisas, situándose en niveles próximos a los 147 yenes, 1,82 marcos y 6,05 francos franceses. En Tokio, tras una fuerte intervención del Banco de Japón, el dólar recuperó 1,25 puntos respecto del pasado martes. El banco central japonés intervino repetidamente en el mercado mediante compras masivas de dólares para levantar su valor."
"«A. V., Washington». El País. Madrid: Diario El País S.A., 1987-10-01.",,El País,1987,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,,"naciones occidentales. Según Poehl, ""el objetivo prioritario de la política económica de la RFA continúa siendo el progreso estable basado en una política monetaria creíble, reforma y recortes fiscales sustanciales, fortalecimiento de los incentivos del mercado y reducción del papel del Gobierno"". Por su lado, el gobernador del Banco de Japón, Satoshi Sumita, argumentó que su país está realizando esfuerzos más que suficientes para colocar su economía en el camino del crecimiento sin inflación, y señaló que el aumento de la demanda interna es lo suficiente amplio como para garantizar que no se va a producir una recesión a nivel global."
"«La fortaleza del dólar no preocupa a los Bancos de Japón y Europa». ABC. Madrid: Prensa Española, S.A., 1989-06-08.",,ABC,1989,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,,"Los gobernadores de los Bancos centrales de Inglaterra, Alemania, Francia y España, el presidente de la Junta de Gobernadores de la Reserva Federal norteamericana y el subgobernador del Banco de Japón coincidieron en que aunque es difícil evaluar económicamente las consecuencias de la actual fortaleza del dólar, «ésta no esta teniendo consecuencias fundamentales»."
"«CARMEN LLORENTE: La última palabra». El Mundo. Madrid: UNIDAD EDITORIAL, 1995.",,El Mundo,1994,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto plano,"Antes de que se conociera la noticia, el dólar marcó ayer un nuevo mínimo histórico en el mercado de divisas de Tokio pese al apoyo continuo del Banco de Japón. El «billete verde» cotizó a 99,27 yenes al cierre, con un retroceso de 1,08 puntos respecto al martes. Pero la divisa estadounidense, sin embargo, tuvo una sesión de relativa tranquilidad en los mercados europeos y americanos."
