BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"VV.AA.: Los bosques ibéricos. Una interpretación geobotánica. Barcelona: Planeta, 1998.",VV.AA.,Los bosques ibéricos. Una interpretación geobotánica,1998,Primera edición,No ficción,Escrito,Libro,Ciencias y tecnología,España,,,,"a cobrar importancia en las Béticas desde hace 13.000 años, coincidiendo durante los primeros tiempos con una presencia significativa de Juniperus y Pistacia, junto con algunos abedules. Desde hace 10.000 años, los encinares y quejigares parecen ser los bosques dominantes en el paisaje, si bien se mantiene una significativa presencia de polen no arbóreo (sobre todo gramineas). Los pinos, aunque presentes, no superan el 20 % en los recuentos polínicos. En los últimos 8.000 años destaca la importancia que alcanza Quercus suber relacionable con un aumento de la humedad, y la presencia constante de Olea. El acebuche aparece con regularidad, normalmente en porcentajes —en las localidades meridionales ibéricas"
"Anónimo: Congelar en casa. Madrid: Espasa Calpe, 1976.",Anónimo,Congelar en casa,1976,Primera edición,No ficción,Escrito,Libro,"Actualidad, ocio y vida cotidiana",España,,,,"perfectamente adaptado al frío, tenía una gruesa piel cubierta por una lana espesa y corta, cuyo color iba del amarillo oscuro al rubio claro. Debajo de este magnífico abrigo exterior poseía otro formado por una capa de grasa blanca de nueve centímetros de espesor. En su estómago se hallaban restos de alimentos, gramíneas y otras plantas que todavía hoy forman las vastas praderas siberianas. Este mamut debió de caer en otoño en una grieta de hielo, pues algunas de las plantas que se encontraron en él tenían ya semillas."
"«BENITO R. MALLOL». El País. Madrid: Diario El País, S.A., 1977-06-21.",,El País,1977,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Mayúsculas no acentuadas en el original,"Contaminación por pólenes. (Area de Madrid, 20 de junio de 1977). Pólenes totales: 75 granos/metro cúbico. Gramíneas: 16 granos/metro cúbico. Cifras superiores a 50 pueden ser reactivas. Recuento facilitado por el doctor Subiza Martín."
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"Quedaron los treinta y tres primos encerrados en el parque, encaramados en los árboles y asomados a los balcones, agitando pañuelos de despedida mientras los más pequeños mostraban rostros llorosos a través de la empalizada de hierro, observando la cabalgata que al cabo de un rato se perdió entre las gramíneas que ondeaban en el paisaje llano hasta el horizonte."
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"— ...y como no volverán, a nosotros nos irán faltando víveres, y se nos acabarán las velas y no sabremos qué hacer.... entonces los antropófagos, usando unas escaleras que tejen con los tallos de las gramíneas treparán la reja del parque y aullando entrarán en esta casa para comernos..."
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"se de carne para el caso que sobreviniera la emergencia predicada por Wenceslao. En la noche, el toque de queda que implacablemente apagaba voces y luces, inauguraba el terror: a esa hora, en la llanura sin límites que comenzaba al otro lado de la reja de las lanzas, el vaivén de las altísimas gramíneas producía con el roce de sus tallos un murmullo que por constante era casi imperceptible durante el día, y de noche merodeaba el sueño de los Ventura como el portentoso rumor del océano rodea a los que navegan. Esa monodia vegetal exhumaba voces inidentificables  en el silencio de las habitaciones donde los niños, con los ojos"
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"su palabra serena: era sólo uno de esos rumores característicos de mediados del verano, cuando el aislamiento parecía inaguantable, todos los pasatiempos gastados, todas las relaciones conjugadas hasta el cansancio sin que a nadie se le ocurriera nada más interesante en que entretenerse, salvo ir contando los días que aún faltaban para que las gramíneas maduraran del todo, y, al erguir por fin sus soberbios penachos platinados antes de comenzar a secarse y a desprender vilanos, la llanura misma les advirtiera así que había llegado el momento de hacer las maletas y preparar los coches para el regreso a la capital llevándose sus hilos, sus sirvientes y su oro"
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"cuantas generaciones quedaron convertidos  en vegetarianos que habían olvidado los sangrientos pormenores de su historia, perdiendo hasta el recuerdo de sus armas, que les habrían sido confiscadas. Continuaron, es cierto, siendo óptimos monteros. Pero cazaban sólo por medio de trampas muy complejas hacia las cuales, batiendo con carreras y gritos la llanura de gramíneas que se extendía de horizonte a horizonte, rodeaban presas de categoría que terminaban por cobrar. No como dieta para ellos, por cierto, que desde hacía quién sabe cuánto tiempo no probaban carne, sino para la mesa de los señores, ya que todos los años los Ventura pasaban tres meses de verano en Marulanda, y de"
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"en sus huertos, cabizbajos, cejijuntos, ceniciento el color de la piel, demasiado grandes las cabezas, demasiado gruesos los brazos de tanto martillar el oro con sus mazas de madera, criando con igual desgano a sus hijos sucios y a sus animales en el caserío de miserables chozas construidas con los tallos secos de las gramíneas, que si uno se asomaba a los torreones más elevados de la casa podía divisar allá lejos agrupadas como hongos en la llanura."
"Donoso, José: Casa de campo. Barcelona: Seix Barral, 1989.","Donoso, José",Casa de campo,1978,Primera edición,Ficción,Escrito,Libro,Novela,Chile,Chilena,,,"empezar diciendo que nadie en la familia Ventura se preguntaba si era agradable o no pasar los tres meses de verano en Marulanda. Lo habían hecho sus abuelos, sus bisabuelos y tatarabuelos, y el rito se cumplía todos los años, incontestado, monótono y puntual. Aislados por las modulaciones del sedoso pelaje de las gramíneas de la llanura donde no existían ni ciudades ni pueblos accesibles, añoraban el vecindario de otros terratenientes como ellos para intercambiar visitas."
