name,duration,type1
bulbasaur,0.00108,grass
ivysaur,0.00077,grass
venusaur,0.00098,grass
charmander,0.00096,fire
charmeleon,0.00094,fire
charizard,0.00094,fire
squirtle,0.00049,water
wartortle,0.00039,water
blastoise,0.00071,water
caterpie,0.00077,bug
metapod,0.00028,bug
butterfree,0.00037,bug
weedle,0.00027,bug
kakuna,0.00025,bug
beedrill,0.00029,bug
pidgey,0.00024,normal
pidgeotto,0.00029,normal
pidgeot,0.00026,normal
rattata,0.00030,normal
raticate,0.00070,normal
spearow,0.00077,normal
fearow,0.00051,normal
ekans,0.00045,poison
arbok,0.00041,poison
pikachu,0.00027,electric
raichu,0.00049,electric
sandshrew,0.00042,ground
sandslash,0.00032,ground
nidoran-f,0.00054,poison
nidorina,0.00063,poison
nidoqueen,0.00038,poison
nidoran-m,0.00029,poison
nidorino,0.00031,poison
nidoking,0.00043,poison
clefairy,0.00059,fairy
clefable,0.00045,fairy
vulpix,0.00032,fire
ninetales,0.00032,fire
jigglypuff,0.00037,normal
wigglytuff,0.00033,normal
zubat,0.00029,poison
golbat,0.00041,poison
oddish,0.00039,grass
gloom,0.00041,grass
vileplume,0.00032,grass
paras,0.00028,bug
parasect,0.00027,bug
venonat,0.00043,bug
venomoth,0.00036,bug
diglett,0.00031,ground
dugtrio,0.00026,ground
meowth,0.00032,normal
persian,0.00035,normal
psyduck,0.00027,water
golduck,0.00029,water
mankey,0.00029,fighting
primeape,0.00029,fighting
growlithe,0.00027,fire
arcanine,0.00031,fire
poliwag,0.00041,water
poliwhirl,0.00063,water
poliwrath,0.00052,water
abra,0.00063,psychic
kadabra,0.00055,psychic
alakazam,0.00032,psychic
machop,0.00027,fighting
machoke,0.00029,fighting
machamp,0.00031,fighting
bellsprout,0.00026,grass
weepinbell,0.00026,grass
victreebel,0.00027,grass
tentacool,0.00024,water
tentacruel,0.00027,water
geodude,0.00024,rock
graveler,0.00026,rock
golem,0.00026,rock
ponyta,0.00024,fire
rapidash,0.00029,fire
slowpoke,0.00024,water
slowbro,0.00025,water
magnemite,0.00023,electric
magneton,0.00026,electric
farfetch'd,0.00031,normal
doduo,0.00027,normal
dodrio,0.00034,normal
seel,0.00028,water
dewgong,0.00030,water
grimer,0.00030,poison
muk,0.00032,poison
shellder,0.00027,water
cloyster,0.00030,water
gastly,0.00028,ghost
haunter,0.00029,ghost
gengar,0.00027,ghost
onix,0.00031,rock
drowzee,0.00027,psychic
hypno,0.00034,psychic
krabby,0.00028,water
kingler,0.00029,water
voltorb,0.00026,electric
electrode,0.00026,electric
exeggcute,0.00027,grass
exeggutor,0.00028,grass
cubone,0.00029,ground
marowak,0.00028,ground
hitmonlee,0.00033,fighting
hitmonchan,0.00035,fighting
lickitung,0.00032,normal
koffing,0.00032,poison
weezing,0.00036,poison
rhyhorn,0.00064,ground
rhydon,0.00070,ground
chansey,0.00051,normal
tangela,0.00067,grass
kangaskhan,0.00049,normal
horsea,0.00050,water
seadra,0.00050,water
goldeen,0.00048,water
seaking,0.00053,water
staryu,0.00047,water
starmie,0.00043,water
mr. mime,0.00046,psychic
scyther,0.00045,bug
jynx,0.00043,ice
electabuzz,0.00042,electric
magmar,0.00042,fire
pinsir,0.00044,bug
tauros,0.00044,normal
magikarp,0.00043,water
gyarados,0.00047,water
lapras,0.00043,water
ditto,0.00041,normal
eevee,0.00043,normal
vaporeon,0.00043,water
jolteon,0.00043,electric
flareon,0.00043,fire
porygon,0.00042,normal
omanyte,0.00042,rock
omastar,0.00042,rock
kabuto,0.00043,rock
kabutops,0.00052,rock
aerodactyl,0.00041,rock
snorlax,0.00041,normal
articuno,0.00043,ice
zapdos,0.00068,electric
moltres,0.00078,fire
dratini,0.00056,dragon
dragonair,0.00040,dragon
dragonite,0.00043,dragon
mewtwo,0.00058,psychic
mew,0.00075,psychic
chikorita,0.00057,grass
bayleef,0.00060,grass
meganium,0.00061,grass
cyndaquil,0.00058,fire
quilava,0.00057,fire
typhlosion,0.00057,fire
totodile,0.00055,water
croconaw,0.00057,water
feraligatr,0.00060,water
sentret,0.00056,normal
furret,0.00055,normal
hoothoot,0.00055,normal
noctowl,0.00057,normal
ledyba,0.00057,bug
ledian,0.00057,bug
spinarak,0.00050,bug
ariados,0.00052,bug
crobat,0.00053,poison
chinchou,0.00052,water
lanturn,0.00052,water
pichu,0.00051,electric
cleffa,0.00066,fairy
igglybuff,0.00095,normal
togepi,0.00047,fairy
togetic,0.00054,fairy
natu,0.00038,psychic
xatu,0.00029,psychic
mareep,0.00033,electric
flaaffy,0.00022,electric
ampharos,0.00023,electric
bellossom,0.00031,grass
marill,0.00023,water
azumarill,0.00032,water
sudowoodo,0.00022,rock
politoed,0.00023,water
hoppip,0.00022,grass
skiploom,0.00021,grass
jumpluff,0.00032,grass
aipom,0.00020,normal
sunkern,0.00020,grass
sunflora,0.00022,grass
yanma,0.00023,bug
wooper,0.00021,water
quagsire,0.00023,water
espeon,0.00043,psychic
umbreon,0.00036,dark
murkrow,0.00041,dark
slowking,0.00022,water
misdreavus,0.00023,ghost
unown,0.00028,psychic
wobbuffet,0.00032,psychic
girafarig,0.00025,normal
pineco,0.00022,bug
forretress,0.00031,bug
dunsparce,0.00025,normal
gligar,0.00021,ground
steelix,0.00023,steel
snubbull,0.00021,fairy
granbull,0.00022,fairy
qwilfish,0.00030,water
scizor,0.00023,bug
shuckle,0.00030,bug
heracross,0.00031,bug
sneasel,0.00024,dark
teddiursa,0.00021,normal
ursaring,0.00032,normal
slugma,0.00022,fire
magcargo,0.00022,fire
swinub,0.00020,ice
piloswine,0.00031,ice
corsola,0.00022,water
remoraid,0.00023,water
octillery,0.00030,water
delibird,0.00022,ice
mantine,0.00022,water
skarmory,0.00024,steel
houndour,0.00088,dark
houndoom,0.00049,dark
kingdra,0.00052,water
phanpy,0.00036,ground
donphan,0.00035,ground
porygon2,0.00026,normal
stantler,0.00027,normal
smeargle,0.00022,normal
tyrogue,0.00020,fighting
hitmontop,0.00021,fighting
smoochum,0.00021,ice
elekid,0.00022,electric
magby,0.00020,fire
miltank,0.00020,normal
blissey,0.00020,normal
raikou,0.00021,electric
entei,0.00022,fire
suicune,0.00021,water
larvitar,0.00020,rock
pupitar,0.00020,rock
tyranitar,0.00021,rock
lugia,0.00022,psychic
ho-oh,0.00024,fire
celebi,0.00020,psychic
treecko,0.00020,grass
grovyle,0.00021,grass
sceptile,0.00022,grass
torchic,0.00020,fire
combusken,0.00021,fire
blaziken,0.00021,fire
mudkip,0.00020,water
marshtomp,0.00021,water
swampert,0.00022,water
poochyena,0.00022,dark
mightyena,0.00021,dark
zigzagoon,0.00020,normal
linoone,0.00021,normal
wurmple,0.00020,bug
silcoon,0.00020,bug
beautifly,0.00020,bug
cascoon,0.00020,bug
dustox,0.00020,bug
lotad,0.00020,water
lombre,0.00019,water
ludicolo,0.00022,water
seedot,0.00020,grass
nuzleaf,0.00020,grass
shiftry,0.00022,grass
taillow,0.00019,normal
swellow,0.00021,normal
wingull,0.00019,water
pelipper,0.00046,water
ralts,0.00039,psychic
kirlia,0.00025,psychic
gardevoir,0.00026,psychic
surskit,0.00024,bug
masquerain,0.00024,bug
shroomish,0.00033,grass
breloom,0.00049,grass
slakoth,0.00020,normal
vigoroth,0.00022,normal
slaking,0.00022,normal
nincada,0.00020,bug
ninjask,0.00088,bug
shedinja,0.00054,bug
whismur,0.00061,normal
loudred,0.00049,normal
exploud,0.00054,normal
makuhita,0.00040,fighting
hariyama,0.00037,fighting
azurill,0.00042,normal
nosepass,0.00042,rock
skitty,0.00028,normal
delcatty,0.00036,normal
sableye,0.00035,dark
mawile,0.00023,steel
aron,0.00034,steel
lairon,0.00024,steel
aggron,0.00025,steel
meditite,0.00023,fighting
medicham,0.00023,fighting
electrike,0.00021,electric
manectric,0.00023,electric
plusle,0.00020,electric
minun,0.00019,electric
volbeat,0.00022,bug
illumise,0.00030,bug
roselia,0.00024,grass
gulpin,0.00022,poison
swalot,0.00031,poison
carvanha,0.00022,water
sharpedo,0.00032,water
wailmer,0.00022,water
