name,duration,type1
bulbasaur,0.00078,grass
ivysaur,0.00066,grass
venusaur,0.00069,grass
charmander,0.00080,fire
charmeleon,0.00111,fire
charizard,0.00073,fire
squirtle,0.00073,water
wartortle,0.00044,water
blastoise,0.00046,water
caterpie,0.00066,bug
metapod,0.00057,bug
butterfree,0.00050,bug
weedle,0.00051,bug
kakuna,0.00050,bug
beedrill,0.00033,bug
pidgey,0.00045,normal
pidgeotto,0.00034,normal
pidgeot,0.00046,normal
rattata,0.00036,normal
raticate,0.00033,normal
spearow,0.00029,normal
fearow,0.00035,normal
ekans,0.00032,poison
arbok,0.00047,poison
pikachu,0.00037,electric
raichu,0.00037,electric
sandshrew,0.00035,ground
sandslash,0.00036,ground
nidoran-f,0.00033,poison
nidorina,0.00049,poison
nidoqueen,0.00060,poison
nidoran-m,0.00050,poison
nidorino,0.00035,poison
nidoking,0.00056,poison
clefairy,0.00041,fairy
clefable,0.00042,fairy
vulpix,0.00048,fire
ninetales,0.00053,fire
jigglypuff,0.00048,normal
wigglytuff,0.00038,normal
zubat,0.00050,poison
golbat,0.00044,poison
oddish,0.00066,grass
gloom,0.00043,grass
vileplume,0.00076,grass
paras,0.00069,bug
parasect,0.00049,bug
venonat,0.00055,bug
venomoth,0.00041,bug
diglett,0.00054,ground
dugtrio,0.00035,ground
meowth,0.00050,normal
persian,0.00041,normal
psyduck,0.00056,water
golduck,0.00060,water
mankey,0.00063,fighting
primeape,0.00057,fighting
growlithe,0.00053,fire
arcanine,0.00054,fire
poliwag,0.00049,water
poliwhirl,0.00051,water
poliwrath,0.00055,water
abra,0.00055,psychic
kadabra,0.00052,psychic
alakazam,0.00050,psychic
machop,0.00056,fighting
machoke,0.00069,fighting
machamp,0.00054,fighting
bellsprout,0.00048,grass
weepinbell,0.00043,grass
victreebel,0.00038,grass
tentacool,0.00039,water
tentacruel,0.00039,water
geodude,0.00036,rock
graveler,0.00044,rock
golem,0.00092,rock
ponyta,0.00076,fire
rapidash,0.00066,fire
slowpoke,0.00041,water
slowbro,0.00053,water
magnemite,0.00042,electric
magneton,0.00040,electric
farfetch'd,0.00043,normal
doduo,0.00029,normal
dodrio,0.00027,normal
seel,0.00026,water
dewgong,0.00027,water
grimer,0.00026,poison
muk,0.00026,poison
shellder,0.00036,water
cloyster,0.00032,water
gastly,0.00032,ghost
haunter,0.00032,ghost
gengar,0.00030,ghost
onix,0.00035,rock
drowzee,0.00033,psychic
hypno,0.00038,psychic
krabby,0.00046,water
kingler,0.00035,water
voltorb,0.00043,electric
electrode,0.00058,electric
exeggcute,0.00046,grass
exeggutor,0.00037,grass
cubone,0.00033,ground
marowak,0.00027,ground
hitmonlee,0.00025,fighting
hitmonchan,0.00023,fighting
lickitung,0.00027,normal
koffing,0.00036,poison
weezing,0.00043,poison
rhyhorn,0.00041,ground
rhydon,0.00026,ground
chansey,0.00024,normal
tangela,0.00026,grass
kangaskhan,0.00024,normal
horsea,0.00022,water
seadra,0.00021,water
goldeen,0.00023,water
seaking,0.00063,water
staryu,0.00060,water
starmie,0.00046,water
mr. mime,0.00043,psychic
scyther,0.00039,bug
jynx,0.00029,ice
electabuzz,0.00027,electric
magmar,0.00026,fire
pinsir,0.00025,bug
tauros,0.00025,normal
magikarp,0.00024,water
gyarados,0.00027,water
lapras,0.00026,water
ditto,0.00023,normal
eevee,0.00025,normal
vaporeon,0.00026,water
jolteon,0.00025,electric
flareon,0.00022,fire
porygon,0.00024,normal
omanyte,0.00024,rock
omastar,0.00024,rock
kabuto,0.00022,rock
kabutops,0.00024,rock
aerodactyl,0.00023,rock
snorlax,0.00032,normal
articuno,0.00048,ice
zapdos,0.00037,electric
moltres,0.00024,fire
dratini,0.00019,dragon
dragonair,0.00021,dragon
dragonite,0.00025,dragon
mewtwo,0.00022,psychic
mew,0.00021,psychic
chikorita,0.00019,grass
bayleef,0.00022,grass
meganium,0.00023,grass
