name,duration,type1
bulbasaur,0.00051,grass
ivysaur,0.00052,grass
venusaur,0.00052,grass
charmander,0.00032,fire
charmeleon,0.00040,fire
charizard,0.00028,fire
squirtle,0.00022,water
wartortle,0.00023,water
blastoise,0.00023,water
caterpie,0.00023,bug
metapod,0.00020,bug
butterfree,0.00022,bug
weedle,0.00020,bug
kakuna,0.00021,bug
beedrill,0.00021,bug
pidgey,0.00020,normal
pidgeotto,0.00022,normal
pidgeot,0.00021,normal
rattata,0.00021,normal
raticate,0.00021,normal
spearow,0.00020,normal
fearow,0.00022,normal
ekans,0.00020,poison
arbok,0.00022,poison
pikachu,0.00020,electric
raichu,0.00021,electric
sandshrew,0.00021,ground
sandslash,0.00021,ground
nidoran-f,0.00020,poison
nidorina,0.00023,poison
nidoqueen,0.00024,poison
nidoran-m,0.00021,poison
nidorino,0.00032,poison
nidoking,0.00031,poison
clefairy,0.00027,fairy
clefable,0.00022,fairy
vulpix,0.00022,fire
ninetales,0.00022,fire
jigglypuff,0.00022,normal
wigglytuff,0.00022,normal
zubat,0.00020,poison
golbat,0.00021,poison
oddish,0.00021,grass
gloom,0.00026,grass
vileplume,0.00089,grass
paras,0.00069,bug
parasect,0.00043,bug
venonat,0.00051,bug
venomoth,0.00042,bug
diglett,0.00058,ground
dugtrio,0.00038,ground
meowth,0.00026,normal
persian,0.00025,normal
psyduck,0.00024,water
golduck,0.00024,water
mankey,0.00022,fighting
primeape,0.00025,fighting
growlithe,0.00022,fire
arcanine,0.00025,fire
poliwag,0.00023,water
poliwhirl,0.00024,water
poliwrath,0.00024,water
abra,0.00021,psychic
kadabra,0.00024,psychic
alakazam,0.00025,psychic
machop,0.00021,fighting
machoke,0.00024,fighting
machamp,0.00024,fighting
bellsprout,0.00022,grass
weepinbell,0.00020,grass
victreebel,0.00024,grass
tentacool,0.00023,water
tentacruel,0.00022,water
geodude,0.00034,rock
graveler,0.00027,rock
golem,0.00024,rock
ponyta,0.00024,fire
rapidash,0.00025,fire
slowpoke,0.00024,water
slowbro,0.00025,water
magnemite,0.00023,electric
magneton,0.00024,electric
farfetch'd,0.00024,normal
doduo,0.00021,normal
dodrio,0.00024,normal
seel,0.00021,water
dewgong,0.00023,water
grimer,0.00021,poison
muk,0.00024,poison
shellder,0.00023,water
cloyster,0.00025,water
gastly,0.00024,ghost
haunter,0.00024,ghost
gengar,0.00024,ghost
onix,0.00022,rock
drowzee,0.00027,psychic
hypno,0.00024,psychic
krabby,0.00023,water
kingler,0.00025,water
voltorb,0.00022,electric
electrode,0.00023,electric
exeggcute,0.00083,grass
exeggutor,0.00063,grass
cubone,0.00057,ground
marowak,0.00043,ground
hitmonlee,0.00036,fighting
hitmonchan,0.00025,fighting
lickitung,0.00027,normal
koffing,0.00025,poison
weezing,0.00026,poison
rhyhorn,0.00024,ground
rhydon,0.00025,ground
chansey,0.00024,normal
tangela,0.00024,grass
kangaskhan,0.00025,normal
horsea,0.00023,water
seadra,0.00024,water
goldeen,0.00024,water
seaking,0.00024,water
staryu,0.00035,water
starmie,0.00055,water
mr. mime,0.00037,psychic
scyther,0.00024,bug
jynx,0.00027,ice
electabuzz,0.00023,electric
magmar,0.00025,fire
pinsir,0.00024,bug
tauros,0.00022,normal
magikarp,0.00024,water
gyarados,0.00026,water
lapras,0.00035,water
ditto,0.00022,normal
eevee,0.00023,normal
vaporeon,0.00022,water
jolteon,0.00024,electric
flareon,0.00024,fire
porygon,0.00023,normal
omanyte,0.00021,rock
omastar,0.00024,rock
kabuto,0.00022,rock
kabutops,0.00024,rock
aerodactyl,0.00035,rock
snorlax,0.00024,normal
articuno,0.00027,ice
zapdos,0.00023,electric
moltres,0.00024,fire
dratini,0.00023,dragon
dragonair,0.00022,dragon
dragonite,0.00025,dragon
mewtwo,0.00024,psychic
mew,0.00023,psychic
chikorita,0.00023,grass
bayleef,0.00024,grass
meganium,0.00024,grass
cyndaquil,0.00023,fire
